BoneName,PosX,PosY,PosZ,RotX,RotY,RotZ
hip,-1.44170308,0.9258797,0.348641962,-0.0193446428,0.7319087,0.0134863481
spine,-1.48451257,1.00786757,0.350903869,0.7281062,0.0151384966,0.685226262
chest,-1.49070442,1.28469872,0.349270672,-0.7203514,-0.00671069464,-0.693572
neck,-1.49336946,1.48504519,0.348161072,-0.7120484,-0.00144563871,-0.70209837
head,-1.49259222,1.59364033,0.346925527,-0.703564644,0.00381978415,-0.7104465
leftShoulder,-1.4707917,1.40833724,0.417426318,-0.47264874,0.460170537,-0.5100175
leftUpperArm,-1.487837,1.40394962,0.5493357,-0.0498210974,0.995381534,-0.0219585337
leftLowerArm,-1.46134615,1.147428,0.5585828,-0.0508423634,0.993198037,-0.0508656278
leftHand,-1.430002,0.86621356,0.5846474,0.145419613,-0.9749084,-0.167103112
rightShoulder,-1.47605765,1.40749681,0.278317869,-0.5694624,-0.60860616,-0.4001311
rightUpperArm,-1.52771974,1.40334272,0.155746862,-0.03620299,-0.0545384064,-0.03979811
rightLowerArm,-1.508259,1.146785,0.135997534,0.04097783,-0.000305912748,0.0240420345
rightHand,-1.49460459,0.8639144,0.112740539,0.1462859,-0.0132166855,-0.142640084
leftUpLeg,-1.43595743,0.9266765,0.4285164,0.021678064,-0.9869727,-0.009159445
leftLeg,-1.41892564,0.500031,0.4178465,-0.07006482,-0.984751642,0.005654967
leftFoot,-1.47703636,0.0761477649,0.432748139,-0.5733392,0.429008752,-0.409329921
leftToe,-1.35368657,0.013514556,0.39248535,-0.5739043,0.4285993,-0.409758776
leftToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
rightUpLeg,-1.44744873,0.925083,0.268767536,0.009031859,0.172926366,-0.0247647911
rightLeg,-1.427954,0.4985579,0.2800223,0.00776779046,-0.175291255,-0.07040989
rightFoot,-1.48577309,0.07474154,0.2623434,-0.6183014,0.3309633,-0.348210156
rightToe,-1.374916,0.0139949992,0.1932078,-0.6183014,0.3309633,-0.348210156
rightToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
leftThumbProximal,-1.39779246,0.8559282,0.576950848,0.4313132,-0.6435891,-0.3246199
leftThumbMedial,-1.38977706,0.8394491,0.54195714,0.08674357,-0.7588642,-0.116576314
leftThumbDistal,-1.39026749,0.810732961,0.53335,0.0608752854,-0.7535003,-0.147316813
leftThumbTip,-1.39356172,0.778221667,0.5230858,0.0608776361,-0.7535006,-0.147314668
leftIndexProximal,-1.37933886,0.803608239,0.557442367,0.300126463,0.103070669,0.02610288
leftIndexMedial,-1.37990427,0.7662285,0.5312103,-0.2997979,-0.103061534,-0.0261388682
leftIndexDistal,-1.38024783,0.7432206,0.515087247,-0.299578816,-0.10305544,-0.0261628591
leftIndexTip,-1.38058174,0.7206658,0.499296278,-0.299579054,-0.10305392,-0.0261621028
leftMiddleProximal,-1.40249157,0.7949599,0.55675894,0.005540484,-0.9764086,-0.212291881
leftMiddleMedial,-1.40276229,0.7523043,0.537302136,0.00166955136,-0.950796,-0.307292521
leftMiddleDistal,-1.40341377,0.727220953,0.5192278,-0.0009228579,-0.9285757,-0.3690377
leftMiddleTip,-1.40433633,0.70545876,0.498731822,-0.0009228516,-0.928575754,-0.369037479
leftRingProximal,-1.42693233,0.7926871,0.5555471,0.02897139,-0.983417332,-0.178972691
leftRingMedial,-1.42450655,0.7517741,0.5401209,0.0286480263,-0.970706642,-0.238473162
leftRingDistal,-1.42301917,0.72679013,0.527035,0.0283733681,-0.96023047,-0.2776654
leftRingTip,-1.42163312,0.7035769,0.51236105,0.0283733737,-0.9602305,-0.2776651
leftLittleProximal,-1.44928765,0.7973976,0.556189656,0.0597904548,0.9444728,0.289190471
leftLittleMedial,-1.45033634,0.768143,0.536221862,-0.0494652428,-0.921693265,-0.355163962
leftLittleDistal,-1.45002627,0.751597762,0.5213134,-0.0424406677,-0.903940558,-0.398185045
leftLittleTip,-1.4490546,0.7361861,0.504691839,-0.0424406044,-0.903940439,-0.398185253
rightThumbProximal,-1.46211231,0.8528641,0.117703147,-0.220202088,-0.540940642,0.4913112
rightThumbMedial,-1.44644272,0.8362636,0.1499407,0.0853176862,0.601894259,-0.08474756
rightThumbDistal,-1.44550991,0.807148635,0.1570384,0.161316589,0.6072706,-0.0261026975
rightThumbTip,-1.45083,0.774726033,0.166716427,0.1613145,0.6072707,-0.0261044744
rightIndexProximal,-1.44324768,0.79964745,0.1341531,-0.326270938,-0.2065941,0.08330371
rightIndexMedial,-1.4424144,0.7643353,0.163101822,0.3815367,0.2112778,-0.07058571
rightIndexDistal,-1.44338584,0.7446987,0.183173969,0.417610645,0.213966817,-0.061958313
rightIndexTip,-1.44530094,0.7269789,0.204162717,0.417610526,0.213966638,-0.0619581565
rightMiddleProximal,-1.46644378,0.791358054,0.136282265,-0.352113664,-0.07834663,0.0508829355
rightMiddleMedial,-1.46458721,0.7563423,0.167404547,0.4257659,0.0821799,-0.0444267243
rightMiddleDistal,-1.46427834,0.7367523,0.191329747,0.473373681,0.0844421238,-0.03995995
